Incident,Year,Latitude,Longitude,Persons_Died,Prevention_Tip
High-speed rear-end collision on ORR,2017,17.4510,78.6835,3,Avoid overspeeding and maintain safe distance
Truck crash due to loss of control,2025,17.4521,78.6842,1,Control speed especially near exits
Tyre burst car overturn on ORR,2025,17.4498,78.6820,2,Check tyre pressure before long drives
Divider hit due to rash driving,2023,17.4530,78.6850,1,Follow speed limits strictly
Car hits stationary vehicle at night,2025,17.4475,78.6810,2,Avoid parking on highways
Mobile-phone distraction bike crash,2025,17.4450,78.6870,1,Do not use phone while driving
Overtaking misjudgment accident,2024,17.4462,78.6881,2,Overtake only with clear visibility
Fog-related collision on ORR,2024,17.4540,78.6865,4,Use fog lights and reduce speed
Sharp curve skid accident,2022,17.4425,78.6844,1,Slow before road bends
Motorcycle slip on wet road,2020,17.4488,78.6802,1,Avoid sudden braking in rain
Night visibility crash near toll plaza,2023,17.4505,78.6832,2,Use headlights properly
Speeding car hits median,2021,17.4513,78.6856,1,Stay within highway speed limits
Truck lane-change collision,2022,17.4529,78.6871,2,Check mirrors before lane change
Bus divider crash during overtaking,2024,17.4419,78.6890,3,Avoid risky overtakes
Car rollover due to fatigue driving,2019,17.4405,78.6839,2,Take breaks every 2 hours
Pedestrian hit near market road,2016,17.4508,78.6837,1,Drive slowly in populated zones
Bike accident without helmet,2021,17.4477,78.6819,1,Always wear helmet
Rain-time hydroplaning accident,2022,17.4499,78.6868,2,Reduce speed in rain
Rear collision in traffic congestion,2025,17.4533,78.6888,1,Maintain braking distance
Wrong-side driving crash,2018,17.4440,78.6825,2,Follow correct lane direction
Illegal roadside parking collision,2025,17.4551,78.6849,1,Avoid stopping on highways
Car fire after high-speed impact,2025,17.4524,78.6860,2,Drive defensively
Brake failure truck accident,2023,17.4435,78.6875,1,Service brakes regularly
Signal jump accident near junction,2020,17.4500,78.6815,1,Obey traffic signals
Blind spot collision,2022,17.4516,78.6828,2,Check blind spots before turning
Driver sleep crash at midnight,2021,17.4548,78.6895,3,Avoid night fatigue driving
Heavy vehicle overtaking accident,2024,17.4560,78.6851,2,Do not overtake trucks aggressively
Sudden obstacle collision,2019,17.4472,78.6833,1,Stay alert at high speed
Skid near gravel road section,2018,17.4460,78.6891,1,Slow down on loose surfaces
Chain collision during traffic jam,2025,17.4519,78.6839,4,Maintain safe distance
Bike-car side collision,2020,17.4480,78.6877,1,Use indicators properly
Unlit road night accident,2024,17.4537,78.6840,2,Drive slower in dark areas
Roadside animal crossing crash,2017,17.4422,78.6863,1,Stay alert in rural stretches
Sharp turn rollover accident,2019,17.4455,78.6822,2,Reduce speed before turns
Construction-zone accident,2023,17.4522,78.6882,1,Follow temporary road signs
Tyre skid due to oil spill,2021,17.4490,78.6817,1,Avoid sudden acceleration
Emergency braking rear crash,2022,17.4503,78.6846,2,Keep safe following distance
Lane discipline violation accident,2024,17.4511,78.6867,1,Stay within lane markings
High-speed bridge collision,2017,17.4539,78.6878,3,Slow down on bridges
Rain visibility multi-vehicle crash,2023,17.4483,78.6859,5,Use hazard lights carefully
Distracted driving intersection crash,2022,17.4506,78.6834,2,Focus fully on driving
Bike skid accident - 2 people injured,2025,17.43267213969123,78.68683329501731,2,Always maintain grip and avoid sudden braking
